week,est_st,vars,value,count,total,rate
1,01,anxious,1,1390953.341964504,3306453.401234461,0.42067834418751915
1,01,anxious,2,1106853.704752084,3306453.401234461,0.3347555735516615
1,01,anxious,3,378640.083791576,3306453.401234461,0.11451547559999214
1,01,anxious,4,430006.270726297,3306453.401234461,0.13005060666082716
1,01,curfoodsuf,1,2145480.198580824,3683423.882416451,0.5824689927278519
1,01,curfoodsuf,2,1154473.582838727,3683423.882416451,0.3134240368994277
1,01,curfoodsuf,3,298751.32244156,3683423.882416451,0.08110696242908894
1,01,curfoodsuf,4,84718.77855534,3683423.882416451,0.023000007943631405
1,01,down,1,1936300.437117081,3311041.087916461,0.5848010899603595
1,01,down,2,885564.826719037,3311041.087916461,0.26745812063488966
1,01,down,3,270477.04509335,3311041.087916461,0.08168942574601305
1,01,down,4,218698.778986993,3311041.087916461,0.0660513636587378
1,01,expctloss,1,1354044.14492947,3704950.179837501,0.3654689210932543
1,01,expctloss,2,2350906.034908031,3704950.179837501,0.6345310789067456
1,01,interest,1,1699253.391627084,3311041.087916461,0.5132081863400775
1,01,interest,2,1086544.771125041,3311041.087916461,0.32815804524152586
1,01,interest,3,327730.850706013,3311041.087916461,0.09898120923417601
1,01,interest,4,197512.074458323,3311041.087916461,0.059652559184220653
1,01,mortconf,1,231956.9482935,2495595.882230465,0.09294651828251378
1,01,mortconf,2,337842.78714597,2495595.882230465,0.1353755988906423
1,01,mortconf,3,513148.41404076,2495595.882230465,0.2056215983102714
1,01,mortconf,4,1370693.643587165,2495595.882230465,0.5492450333593648
1,01,mortconf,5,41954.08916307,2495595.882230465,0.01681125115720783
1,01,tenure,1,569632.9176546161,3194724.409404241,0.17830424307580334
1,01,tenure,2,1613197.308354985,3194724.409404241,0.5049566415200795
1,01,tenure,3,909544.46793738,3194724.409404241,0.28470201224868524
1,01,tenure,4,102349.71545726,3194724.409404241,0.03203710315543192
1,01,worry,1,1729169.663222034,3300047.786558361,0.52398321935374
1,01,worry,2,954636.088243024,3300047.786558361,0.28927947411289445
1,01,worry,3,317333.954150993,3300047.786558361,0.09616041181086728
1,01,worry,4,298908.08094231,3300047.786558361,0.09057689472249823
1,01,wrkloss,1,1594820.68144583,3707927.254944501,0.4301111029940367
1,01,wrkloss,2,2113106.573498671,3707927.254944501,0.5698888970059633
1,02,anxious,1,191588.508435525,482795.528560859,0.39683157175589756
1,02,anxious,2,159697.444762938,482795.528560859,0.33077656133016
1,02,anxious,3,49430.540463945,482795.528560859,0.10238400635418067
1,02,anxious,4,82079.034898451,482795.528560859,0.1700078605597618
1,02,curfoodsuf,1,353612.802961392,519219.08929448196,0.681047384913916
1,02,curfoodsuf,2,127112.781965336,519219.08929448196,0.2448153093486174
1,02,curfoodsuf,3,23515.461221583,519219.08929448196,0.04529005521260004
1,02,curfoodsuf,4,14978.043146171,519219.08929448196,0.028847250524866593
1,02,down,1,286309.166259406,483274.39901937504,0.5924360298007997
1,02,down,2,118329.431523992,483274.39901937504,0.24484936873150615
1,02,down,3,41856.109162643,483274.39901937504,0.08660940709372221
1,02,down,4,36779.692073334,483274.39901937504,0.07610519437397192
1,02,expctloss,1,170822.996294402,523185.057383291,0.32650587757374583
1,02,expctloss,2,352362.061088889,523185.057383291,0.6734941224262542
1,02,interest,1,264249.244052987,480588.18971464504,0.5498454804099289
1,02,interest,2,130996.720347255,480588.18971464504,0.2725758209435731
1,02,interest,3,49173.753113082,480588.18971464504,0.1023199366224116
1,02,interest,4,36168.472201321,480588.18971464504,0.07525876202408648
1,02,mortconf,1,19780.054343639,360411.32088332,0.05488188965640904
1,02,mortconf,2,38355.038830694,360411.32088332,0.10642018329693674
1,02,mortconf,3,70934.375843723,360411.32088332,0.19681506027577692
1,02,mortconf,4,221043.746385802,360411.32088332,0.6133096647576255
1,02,mortconf,5,10298.105479462,360411.32088332,0.028573202013251742
1,02,tenure,1,103027.508132056,474467.498106402,0.2171434472186997
1,02,tenure,2,231377.754075861,474467.498106402,0.48765775316389165
1,02,tenure,3,130311.947238979,474467.498106402,0.2746488384537476
1,02,tenure,4,9750.288659505999,474467.498106402,0.020549961163661083
1,02,worry,1,247789.344070882,482920.688613109,0.5131056712076338
1,02,worry,2,148408.671183363,482920.688613109,0.3073147924342921
1,02,worry,3,39342.588318121,482920.688613109,0.08146801171659937
1,02,worry,4,47380.085040743,482920.688613109,0.09811152464147475
1,02,wrkloss,1,214428.612412965,523185.05738329096,0.4098523254571323
1,02,wrkloss,2,308756.444970326,523185.05738329096,0.5901476745428678
1,04,anxious,1,1831749.510765962,5003199.935455612,0.3661155928998779
1,04,anxious,2,1653844.73664237,5003199.935455612,0.3305573948628867
1,04,anxious,3,774959.60432208,5003199.935455612,0.1548927914773626
1,04,anxious,4,742646.0837252,5003199.935455612,0.14843422075987286
1,04,curfoodsuf,1,3106308.332940956,5483171.540703832,0.5665167157149024
1,04,curfoodsuf,2,1853075.31288768,5483171.540703832,0.33795683741271665
1,04,curfoodsuf,3,418881.941833756,5483171.540703832,0.07639409759921306
1,04,curfoodsuf,4,104905.95304144,5483171.540703832,0.019132349273167922
1,04,down,1,2624345.637293902,5000958.8886365425,0.524768488550683
1,04,down,2,1426387.15736884,5000958.8886365425,0.2852227321064279
1,04,down,3,516071.00782314,5000958.8886365425,0.10319441117498193
1,04,down,4,434155.08615066,5000958.8886365425,0.08681436816790704
1,04,expctloss,1,1951638.69375629,5510030.338666042,0.3541974497056534
1,04,expctloss,2,3558391.644909752,5510030.338666042,0.6458025502943465
1,04,interest,1,2538921.659435862,4995259.039591342,0.5082662659359442
1,04,interest,2,1424633.42816759,4995259.039591342,0.2851971072723664
1,04,interest,3,652824.8761322,4995259.039591342,0.13068889340033246
1,04,interest,4,378879.07585569,4995259.039591342,0.07584773339135698
1,04,mortconf,1,216850.38566077,3879104.4119832623,0.05590217808803484
1,04,mortconf,2,518985.63634068996,3879104.4119832623,0.133790066268247
1,04,mortconf,3,856949.96353254,3879104.4119832623,0.22091438448660083
1,04,mortconf,4,2205513.096335742,3879104.4119832623,0.5685624469200956
1,04,mortconf,5,80805.33011352,3879104.4119832623,0.020830924237021715
1,04,tenure,1,888168.66182307,4927807.087536962,0.1802360859598906
1,04,tenure,2,2371740.654225263,4927807.087536962,0.48129738281023426
1,04,tenure,3,1519389.030075799,4927807.087536962,0.30832964908844
1,04,tenure,4,148508.74141283002,4927807.087536962,0.030136882141435107
1,04,worry,1,2313048.027696022,5003798.920761642,0.4622583889410061
1,04,worry,2,1543129.72375885,5003798.920761642,0.3083916336757925
1,04,worry,3,572708.58496812,5003798.920761642,0.11445475608379292
1,04,worry,4,574912.58433865,5003798.920761642,0.11489522129940845
1,04,wrkloss,1,2339733.86198253,5545026.279994742,0.4219518075908467
1,04,wrkloss,2,3205292.418012212,5545026.279994742,0.5780481924091533
1,05,anxious,1,709354.527103084,1951295.090395194,0.3635301142275816
1,05,anxious,2,611779.06802734,1951295.090395194,0.31352462835512845
1,05,anxious,3,279946.50875565,1951295.090395194,0.14346702871012335
1,05,anxious,4,350214.98650912,1951295.090395194,0.17947822870716662
1,05,curfoodsuf,1,1218170.45944367,2207024.003662304,0.5519516133137906
1,05,curfoodsuf,2,722732.664221194,2207024.003662304,0.32746932657818933
1,05,curfoodsuf,3,235315.43099055,2207024.003662304,0.106621147119411
1,05,curfoodsuf,4,30805.449006889998,2207024.003662304,0.01395791298860904
1,05,down,1,988368.030188954,1951295.090395194,0.5065189960524016
1,05,down,2,571259.08821049,1951295.090395194,0.2927589430334667
1,05,down,3,181416.63152896,1951295.090395194,0.09297242248081393
1,05,down,4,210251.34046679,1951295.090395194,0.10774963843331763
1,05,expctloss,1,693262.896848494,2224725.136624854,0.3116173254104765
1,05,expctloss,2,1531462.23977636,2224725.136624854,0.6883826745895235
1,05,interest,1,776968.495908124,1945357.5668017939,0.3993962391116999
1,05,interest,2,665839.82435496,1945357.5668017939,0.3422711771438573
1,05,interest,3,292917.01024934,1945357.5668017939,0.1505723242081924
1,05,interest,4,209632.23628937,1945357.5668017939,0.10776025953625046
1,05,mortconf,1,109817.65548124,1421595.449836354,0.07724958284994622
1,05,mortconf,2,203157.49579895398,1421595.449836354,0.14290809373534524
1,05,mortconf,3,387996.23266212,1421595.449836354,0.2729301312175584
1,05,mortconf,4,679518.63263081,1421595.449836354,0.4779971916124467
1,05,mortconf,5,41105.43326323,1421595.449836354,0.02891500058470349
1,05,tenure,1,428748.22130527,1907943.847683274,0.22471742123117444
1,05,tenure,2,846004.320908174,1907943.847683274,0.44341154061501187
1,05,tenure,3,580152.12501908,1907943.847683274,0.3040719074219775
1,05,tenure,4,53039.18045075,1907943.847683274,0.02779913073183625
1,05,worry,1,915335.76455363,1950207.751518294,0.4693529516745148
1,05,worry,2,537310.435624784,1950207.751518294,0.2755144600396917
1,05,worry,3,262021.68142295,1950207.751518294,0.13435577887481906
1,05,worry,4,235539.86991693,1950207.751518294,0.12077680941097445
1,05,wrkloss,1,859751.603123314,2236489.822796354,0.3844200829174082
1,05,wrkloss,2,1376738.21967304,2236489.822796354,0.6155799170825919
1,06,anxious,1,9220015.664471084,27179873.5095545,0.3392221697142919
1,06,anxious,2,9899764.520602426,27179873.5095545,0.3642314419573136
1,06,anxious,3,3745570.743390557,27179873.5095545,0.13780677610857467
1,06,anxious,4,4314522.581090436,27179873.5095545,0.1587396122198199
1,06,curfoodsuf,1,16793883.818300586,29626858.82101265,0.566846587407695
1,06,curfoodsuf,2,9953524.021491038,29626858.82101265,0.33596285322126584
1,06,curfoodsuf,3,2412855.9151451,29626858.82101265,0.08144150312127584
1,06,curfoodsuf,4,466595.066075927,29626858.82101265,0.015749056249763395
1,06,down,1,13936753.992869884,27106750.839352563,0.514143287606312
1,06,down,2,8156707.617437166,27106750.839352563,0.3009105615710889
1,06,down,3,2542861.685679419,27106750.839352563,0.09380916586977248
1,06,down,4,2470427.543366093,27106750.839352563,0.09113698495282656
1,06,expctloss,1,13209929.779024376,29776258.44331765,0.4436396803907017
1,06,expctloss,2,16566328.664293276,29776258.44331765,0.5563603196092983
1,06,interest,1,11786743.585870307,27147562.933562443,0.43417317476031686
1,06,interest,2,8736873.625797007,27147562.933562443,0.32182902189704987
1,06,interest,3,3894982.534736345,27147562.933562443,0.14347448219453213
1,06,interest,4,2728963.187158783,27147562.933562443,0.1005233211481011
1,06,mortconf,1,1573634.15310439,22219164.179532237,0.07082328301772864
1,06,mortconf,2,3550321.01872895,22219164.179532237,0.1597864343609928
1,06,mortconf,3,5252937.465943602,22219164.179532237,0.2364147194511701
1,06,mortconf,4,11382719.855106765,22219164.179532237,0.512292891088687
1,06,mortconf,5,459551.68664853,22219164.179532237,0.020682672081421407
1,06,tenure,1,4045637.735113217,26909400.93972089,0.15034291339951245
1,06,tenure,2,10853850.046578573,26909400.93972089,0.4033478883789358
1,06,tenure,3,11531857.283963665,26909400.93972089,0.42854381298921906
1,06,tenure,4,478055.874065437,26909400.93972089,0.017765385232332693
1,06,worry,1,11928825.445706066,27134038.582107473,0.4396258746964443
1,06,worry,2,9309221.363659363,27134038.582107473,0.34308277905221163
1,06,worry,3,2751933.668298118,27134038.582107473,0.10141998066269345
1,06,worry,4,3144058.104443925,27134038.582107473,0.11587136558865058
